pe_id,throughput,data_size,epoch_size,operation,num_pe
0,447303.03,1,1,put-non-blocking,1
0,467279.94,2,1,put-non-blocking,1
0,463151.15,4,1,put-non-blocking,1
0,483071.97,8,1,put-non-blocking,1
0,462307.14,16,1,put-non-blocking,1
0,472831.04,32,1,put-non-blocking,1
0,466458.56,64,1,put-non-blocking,1
0,463217.61,128,1,put-non-blocking,1
0,455112.74,256,1,put-non-blocking,1
0,448768.53,512,1,put-non-blocking,1
0,426871.49,1024,1,put-non-blocking,1
0,407301.85,2048,1,put-non-blocking,1
0,322189.21,4096,1,put-non-blocking,1
0,270845.16,8192,1,put-non-blocking,1
0,252532.11,16384,1,put-non-blocking,1
0,922201.89,1,2,put-non-blocking,1
0,925490.34,2,2,put-non-blocking,1
0,913465.65,4,2,put-non-blocking,1
0,876976.78,8,2,put-non-blocking,1
0,919223.83,16,2,put-non-blocking,1
0,900146.78,32,2,put-non-blocking,1
0,907039.40,64,2,put-non-blocking,1
0,902869.02,128,2,put-non-blocking,1
0,684882.81,256,2,put-non-blocking,1
0,674477.79,512,2,put-non-blocking,1
0,641626.65,1024,2,put-non-blocking,1
0,609297.97,2048,2,put-non-blocking,1
0,480434.25,4096,2,put-non-blocking,1
0,392415.66,8192,2,put-non-blocking,1
0,384083.84,16384,2,put-non-blocking,1
0,1617846.33,1,4,put-non-blocking,1
0,1632975.00,2,4,put-non-blocking,1
0,1632040.82,4,4,put-non-blocking,1
0,1614625.24,8,4,put-non-blocking,1
0,1634547.82,16,4,put-non-blocking,1
0,1606518.78,32,4,put-non-blocking,1
0,1597372.52,64,4,put-non-blocking,1
0,1589600.31,128,4,put-non-blocking,1
0,1174151.95,256,4,put-non-blocking,1
0,1125285.43,512,4,put-non-blocking,1
0,1055318.91,1024,4,put-non-blocking,1
0,951291.73,2048,4,put-non-blocking,1
0,756942.83,4096,4,put-non-blocking,1
0,587705.51,8192,4,put-non-blocking,1
0,598763.07,16384,4,put-non-blocking,1
0,2726337.44,1,8,put-non-blocking,1
0,2719992.76,2,8,put-non-blocking,1
0,2711708.07,4,8,put-non-blocking,1
0,2649083.44,8,8,put-non-blocking,1
0,2646895.76,16,8,put-non-blocking,1
0,2635462.19,32,8,put-non-blocking,1
0,2640762.71,64,8,put-non-blocking,1
