pe_id,throughput,data_size,epoch_size,operation,num_pe
3,111485.00,1,2,fetch-add32,16
4,111484.97,1,2,fetch-add32,16
5,111485.03,1,2,fetch-add32,16
6,111484.98,1,2,fetch-add32,16
7,111484.84,1,2,fetch-add32,16
8,111484.81,1,2,fetch-add32,16
9,111484.79,1,2,fetch-add32,16
10,111484.84,1,2,fetch-add32,16
11,111484.91,1,2,fetch-add32,16
12,111484.94,1,2,fetch-add32,16
13,111485.04,1,2,fetch-add32,16
14,111485.10,1,2,fetch-add32,16
15,111485.09,1,2,fetch-add32,16
0,179506.56,1,4,fetch-add32,16
1,179506.73,1,4,fetch-add32,16
2,179506.64,1,4,fetch-add32,16
3,179506.64,1,4,fetch-add32,16
4,179506.56,1,4,fetch-add32,16
5,179506.51,1,4,fetch-add32,16
6,179506.51,1,4,fetch-add32,16
7,179506.52,1,4,fetch-add32,16
8,179506.55,1,4,fetch-add32,16
9,179506.52,1,4,fetch-add32,16
10,179506.54,1,4,fetch-add32,16
11,179506.49,1,4,fetch-add32,16
12,179506.56,1,4,fetch-add32,16
13,179506.53,1,4,fetch-add32,16
14,179506.54,1,4,fetch-add32,16
15,179506.45,1,4,fetch-add32,16
0,255963.87,1,8,fetch-add32,16
1,255963.72,1,8,fetch-add32,16
2,255963.69,1,8,fetch-add32,16
3,255963.67,1,8,fetch-add32,16
4,255963.82,1,8,fetch-add32,16
5,255963.85,1,8,fetch-add32,16
6,255963.88,1,8,fetch-add32,16
7,255963.95,1,8,fetch-add32,16
8,255963.88,1,8,fetch-add32,16
9,255963.92,1,8,fetch-add32,16
10,255963.81,1,8,fetch-add32,16
11,255963.80,1,8,fetch-add32,16
12,255963.82,1,8,fetch-add32,16
13,255963.81,1,8,fetch-add32,16
14,255963.84,1,8,fetch-add32,16
15,255963.81,1,8,fetch-add32,16
0,324795.64,1,16,fetch-add32,16
1,324795.31,1,16,fetch-add32,16
2,324795.30,1,16,fetch-add32,16
3,324795.32,1,16,fetch-add32,16
4,324795.46,1,16,fetch-add32,16
5,324795.44,1,16,fetch-add32,16
6,324795.43,1,16,fetch-add32,16
7,324795.45,1,16,fetch-add32,16
8,324795.45,1,16,fetch-add32,16
9,324795.46,1,16,fetch-add32,16
10,324795.45,1,16,fetch-add32,16
11,324795.60,1,16,fetch-add32,16
12,324795.60,1,16,fetch-add32,16
13,324795.59,1,16,fetch-add32,16
14,324795.59,1,16,fetch-add32,16
15,324795.55,1,16,fetch-add32,16
0,373742.19,1,32,fetch-add32,16
1,373742.30,1,32,fetch-add32,16
2,373742.33,1,32,fetch-add32,16
3,373742.35,1,32,fetch-add32,16
4,373742.38,1,32,fetch-add32,16
5,373742.29,1,32,fetch-add32,16
6,373742.29,1,32,fetch-add32,16
7,373742.27,1,32,fetch-add32,16
8,373742.31,1,32,fetch-add32,16
9,373742.34,1,32,fetch-add32,16
10,373742.32,1,32,fetch-add32,16
11,373742.31,1,32,fetch-add32,16
12,373742.25,1,32,fetch-add32,16
13,373742.22,1,32,fetch-add32,16
14,373742.20,1,32,fetch-add32,16
15,373742.15,1,32,fetch-add32,16
0,404013.48,1,64,fetch-add32,16
1,404013.48,1,64,fetch-add32,16
2,404013.53,1,64,fetch-add32,16
3,404013.55,1,64,fetch-add32,16
4,404013.47,1,64,fetch-add32,16
5,404013.52,1,64,fetch-add32,16
6,404013.55,1,64,fetch-add32,16
7,404013.44,1,64,fetch-add32,16
8,404013.59,1,64,fetch-add32,16
9,404013.46,1,64,fetch-add32,16
10,404013.37,1,64,fetch-add32,16
11,404013.49,1,64,fetch-add32,16
12,404013.41,1,64,fetch-add32,16
13,404013.46,1,64,fetch-add32,16
14,404013.42,1,64,fetch-add32,16
15,404013.45,1,64,fetch-add32,16
0,423536.63,1,128,fetch-add32,16
1,423536.72,1,128,fetch-add32,16
2,423536.69,1,128,fetch-add32,16
3,423536.72,1,128,fetch-add32,16
4,423536.71,1,128,fetch-add32,16
5,423536.67,1,128,fetch-add32,16
6,423536.67,1,128,fetch-add32,16
7,423536.72,1,128,fetch-add32,16
8,423536.69,1,128,fetch-add32,16
9,423536.69,1,128,fetch-add32,16
10,423536.69,1,128,fetch-add32,16
11,423536.66,1,128,fetch-add32,16
12,423536.68,1,128,fetch-add32,16
13,423536.69,1,128,fetch-add32,16
14,423536.66,1,128,fetch-add32,16
15,423536.68,1,128,fetch-add32,16
0,33051.84,1,1,fetch-add32,32
1,33051.83,1,1,fetch-add32,32
2,33051.83,1,1,fetch-add32,32
3,33051.83,1,1,fetch-add32,32
4,33051.82,1,1,fetch-add32,32
5,33051.82,1,1,fetch-add32,32
6,33051.83,1,1,fetch-add32,32
7,33051.83,1,1,fetch-add32,32
8,33051.84,1,1,fetch-add32,32
9,33051.84,1,1,fetch-add32,32
10,33051.84,1,1,fetch-add32,32
11,33051.84,1,1,fetch-add32,32
12,33051.84,1,1,fetch-add32,32
13,33051.84,1,1,fetch-add32,32
14,33051.83,1,1,fetch-add32,32
15,33051.84,1,1,fetch-add32,32
16,33051.83,1,1,fetch-add32,32
17,33051.83,1,1,fetch-add32,32
18,33051.84,1,1,fetch-add32,32
19,33051.84,1,1,fetch-add32,32
20,33051.83,1,1,fetch-add32,32
21,33051.84,1,1,fetch-add32,32
22,33051.84,1,1,fetch-add32,32
23,33051.84,1,1,fetch-add32,32
24,33051.84,1,1,fetch-add32,32
25,33051.84,1,1,fetch-add32,32
26,33051.84,1,1,fetch-add32,32
27,33051.84,1,1,fetch-add32,32
28,33051.84,1,1,fetch-add32,32
29,33051.84,1,1,fetch-add32,32
30,33051.84,1,1,fetch-add32,32
31,33051.84,1,1,fetch-add32,32
0,42043.67,1,2,fetch-add32,32
1,42043.44,1,2,fetch-add32,32
2,42043.44,1,2,fetch-add32,32
3,42043.44,1,2,fetch-add32,32
4,42043.42,1,2,fetch-add32,32
5,42043.43,1,2,fetch-add32,32
6,42043.43,1,2,fetch-add32,32
7,42043.44,1,2,fetch-add32,32
8,42043.45,1,2,fetch-add32,32
9,42043.48,1,2,fetch-add32,32
10,42043.47,1,2,fetch-add32,32
11,42043.49,1,2,fetch-add32,32
12,42043.49,1,2,fetch-add32,32
13,42043.50,1,2,fetch-add32,32
14,42043.51,1,2,fetch-add32,32
15,42043.52,1,2,fetch-add32,32
16,42043.53,1,2,fetch-add32,32
17,42043.53,1,2,fetch-add32,32
18,42043.55,1,2,fetch-add32,32
19,42043.55,1,2,fetch-add32,32
20,42043.57,1,2,fetch-add32,32
21,42043.57,1,2,fetch-add32,32
22,42043.58,1,2,fetch-add32,32
23,42043.59,1,2,fetch-add32,32
24,42043.60,1,2,fetch-add32,32
25,42043.60,1,2,fetch-add32,32
26,42043.62,1,2,fetch-add32,32
27,42043.63,1,2,fetch-add32,32
28,42043.64,1,2,fetch-add32,32
29,42043.64,1,2,fetch-add32,32
30,42043.65,1,2,fetch-add32,32
31,42043.66,1,2,fetch-add32,32
0,57708.62,1,4,fetch-add32,32
1,57708.43,1,4,fetch-add32,32
2,57708.44,1,4,fetch-add32,32
3,57708.43,1,4,fetch-add32,32
4,57708.42,1,4,fetch-add32,32
5,57708.41,1,4,fetch-add32,32
6,57708.42,1,4,fetch-add32,32
7,57708.42,1,4,fetch-add32,32
8,57708.41,1,4,fetch-add32,32
9,57708.41,1,4,fetch-add32,32
10,57708.42,1,4,fetch-add32,32
11,57708.42,1,4,fetch-add32,32
12,57708.44,1,4,fetch-add32,32
13,57708.44,1,4,fetch-add32,32
14,57708.46,1,4,fetch-add32,32
15,57708.47,1,4,fetch-add32,32
16,57708.49,1,4,fetch-add32,32
17,57708.48,1,4,fetch-add32,32
18,57708.49,1,4,fetch-add32,32
19,57708.50,1,4,fetch-add32,32
20,57708.50,1,4,fetch-add32,32
21,57708.52,1,4,fetch-add32,32
22,57708.53,1,4,fetch-add32,32
23,57708.54,1,4,fetch-add32,32
24,57708.55,1,4,fetch-add32,32
25,57708.56,1,4,fetch-add32,32
26,57708.57,1,4,fetch-add32,32
27,57708.57,1,4,fetch-add32,32
28,57708.58,1,4,fetch-add32,32
29,57708.59,1,4,fetch-add32,32
30,57708.60,1,4,fetch-add32,32
31,57708.61,1,4,fetch-add32,32
0,84180.08,1,8,fetch-add32,32
1,84180.40,1,8,fetch-add32,32
2,84180.40,1,8,fetch-add32,32
3,84180.39,1,8,fetch-add32,32
4,84180.36,1,8,fetch-add32,32
5,84180.36,1,8,fetch-add32,32
6,84180.34,1,8,fetch-add32,32
7,84180.33,1,8,fetch-add32,32
8,84180.32,1,8,fetch-add32,32
9,84180.30,1,8,fetch-add32,32
10,84180.30,1,8,fetch-add32,32
11,84180.28,1,8,fetch-add32,32
12,84180.27,1,8,fetch-add32,32
13,84180.27,1,8,fetch-add32,32
14,84180.25,1,8,fetch-add32,32
15,84180.24,1,8,fetch-add32,32
16,84180.23,1,8,fetch-add32,32
17,84180.22,1,8,fetch-add32,32
18,84180.21,1,8,fetch-add32,32
19,84180.20,1,8,fetch-add32,32
20,84180.19,1,8,fetch-add32,32
21,84180.18,1,8,fetch-add32,32
22,84180.17,1,8,fetch-add32,32
23,84180.15,1,8,fetch-add32,32
24,84180.14,1,8,fetch-add32,32
25,84180.14,1,8,fetch-add32,32
26,84180.12,1,8,fetch-add32,32
27,84180.12,1,8,fetch-add32,32
28,84180.10,1,8,fetch-add32,32
29,84180.10,1,8,fetch-add32,32
30,84180.09,1,8,fetch-add32,32
31,84180.06,1,8,fetch-add32,32
0,121649.65,1,16,fetch-add32,32
1,121649.77,1,16,fetch-add32,32
2,121649.76,1,16,fetch-add32,32
3,121649.73,1,16,fetch-add32,32
4,121649.74,1,16,fetch-add32,32
5,121649.75,1,16,fetch-add32,32
6,121649.75,1,16,fetch-add32,32
7,121649.75,1,16,fetch-add32,32
8,121649.73,1,16,fetch-add32,32
9,121649.74,1,16,fetch-add32,32
10,121649.77,1,16,fetch-add32,32
11,121649.75,1,16,fetch-add32,32
12,121649.75,1,16,fetch-add32,32
13,121649.71,1,16,fetch-add32,32
14,121649.76,1,16,fetch-add32,32
15,121649.76,1,16,fetch-add32,32
16,121649.75,1,16,fetch-add32,32
17,121649.75,1,16,fetch-add32,32
18,121649.77,1,16,fetch-add32,32
19,121649.78,1,16,fetch-add32,32
20,121649.75,1,16,fetch-add32,32
21,121649.77,1,16,fetch-add32,32
22,121649.73,1,16,fetch-add32,32
23,121649.76,1,16,fetch-add32,32
24,121649.72,1,16,fetch-add32,32
25,121649.75,1,16,fetch-add32,32
26,121649.71,1,16,fetch-add32,32
27,121649.76,1,16,fetch-add32,32
28,121649.74,1,16,fetch-add32,32
29,121649.72,1,16,fetch-add32,32
30,121649.70,1,16,fetch-add32,32
31,121649.69,1,16,fetch-add32,32
0,153326.48,1,32,fetch-add32,32
1,153326.61,1,32,fetch-add32,32
2,153326.61,1,32,fetch-add32,32
3,153326.60,1,32,fetch-add32,32
4,153326.59,1,32,fetch-add32,32
5,153326.60,1,32,fetch-add32,32
6,153326.62,1,32,fetch-add32,32
7,153326.62,1,32,fetch-add32,32
8,153326.65,1,32,fetch-add32,32
9,153326.64,1,32,fetch-add32,32
10,153326.65,1,32,fetch-add32,32
11,153326.66,1,32,fetch-add32,32
12,153326.65,1,32,fetch-add32,32
13,153326.63,1,32,fetch-add32,32
14,153326.66,1,32,fetch-add32,32
15,153326.62,1,32,fetch-add32,32
16,153326.62,1,32,fetch-add32,32
17,153326.62,1,32,fetch-add32,32
18,153326.62,1,32,fetch-add32,32
19,153326.60,1,32,fetch-add32,32
20,153326.60,1,32,fetch-add32,32
21,153326.61,1,32,fetch-add32,32
22,153326.59,1,32,fetch-add32,32
23,153326.57,1,32,fetch-add32,32
24,153326.57,1,32,fetch-add32,32
25,153326.56,1,32,fetch-add32,32
26,153326.52,1,32,fetch-add32,32
27,153326.54,1,32,fetch-add32,32
28,153326.54,1,32,fetch-add32,32
29,153326.50,1,32,fetch-add32,32
30,153326.52,1,32,fetch-add32,32
31,153326.51,1,32,fetch-add32,32
0,176064.95,1,64,fetch-add32,32
1,176065.13,1,64,fetch-add32,32
2,176065.15,1,64,fetch-add32,32
3,176065.14,1,64,fetch-add32,32
4,176065.16,1,64,fetch-add32,32
5,176065.12,1,64,fetch-add32,32
6,176065.13,1,64,fetch-add32,32
7,176065.12,1,64,fetch-add32,32
8,176065.10,1,64,fetch-add32,32
9,176065.12,1,64,fetch-add32,32
10,176065.11,1,64,fetch-add32,32
11,176065.11,1,64,fetch-add32,32
12,176065.09,1,64,fetch-add32,32
13,176065.10,1,64,fetch-add32,32
14,176065.08,1,64,fetch-add32,32
15,176065.06,1,64,fetch-add32,32
16,176065.06,1,64,fetch-add32,32
17,176065.05,1,64,fetch-add32,32
18,176065.04,1,64,fetch-add32,32
19,176065.04,1,64,fetch-add32,32
20,176065.04,1,64,fetch-add32,32
21,176065.02,1,64,fetch-add32,32
22,176065.01,1,64,fetch-add32,32
23,176065.02,1,64,fetch-add32,32
24,176064.99,1,64,fetch-add32,32
25,176065.00,1,64,fetch-add32,32
26,176064.99,1,64,fetch-add32,32
27,176064.99,1,64,fetch-add32,32
28,176064.98,1,64,fetch-add32,32
29,176064.97,1,64,fetch-add32,32
30,176064.97,1,64,fetch-add32,32
31,176064.94,1,64,fetch-add32,32
0,184473.07,1,128,fetch-add32,32
1,184473.23,1,128,fetch-add32,32
2,184473.22,1,128,fetch-add32,32
3,184473.22,1,128,fetch-add32,32
4,184473.22,1,128,fetch-add32,32
5,184473.21,1,128,fetch-add32,32
6,184473.20,1,128,fetch-add32,32
7,184473.20,1,128,fetch-add32,32
8,184473.19,1,128,fetch-add32,32
9,184473.19,1,128,fetch-add32,32
10,184473.18,1,128,fetch-add32,32
11,184473.17,1,128,fetch-add32,32
12,184473.17,1,128,fetch-add32,32
13,184473.16,1,128,fetch-add32,32
14,184473.15,1,128,fetch-add32,32
15,184473.14,1,128,fetch-add32,32
16,184473.13,1,128,fetch-add32,32
17,184473.13,1,128,fetch-add32,32
18,184473.12,1,128,fetch-add32,32
19,184473.11,1,128,fetch-add32,32
20,184473.11,1,128,fetch-add32,32
21,184473.11,1,128,fetch-add32,32
22,184473.11,1,128,fetch-add32,32
23,184473.10,1,128,fetch-add32,32
24,184473.09,1,128,fetch-add32,32
25,184473.10,1,128,fetch-add32,32
26,184473.09,1,128,fetch-add32,32
27,184473.09,1,128,fetch-add32,32
28,184473.09,1,128,fetch-add32,32
29,184473.08,1,128,fetch-add32,32
30,184473.08,1,128,fetch-add32,32
31,184473.07,1,128,fetch-add32,32
0,273191.45,1,1,fetch-add64,1
0,344243.56,1,2,fetch-add64,1
0,389136.56,1,4,fetch-add64,1
0,420083.40,1,8,fetch-add64,1
0,429359.66,1,16,fetch-add64,1
0,436862.60,1,32,fetch-add64,1
0,442203.47,1,64,fetch-add64,1
0,448639.29,1,128,fetch-add64,1
0,251851.02,1,1,fetch-add64,2
1,251850.85,1,1,fetch-add64,2
0,325919.97,1,2,fetch-add64,2
1,325919.94,1,2,fetch-add64,2
0,375216.14,1,4,fetch-add64,2
1,375216.03,1,4,fetch-add64,2
0,415046.07,1,8,fetch-add64,2
1,415045.93,1,8,fetch-add64,2
0,436817.86,1,16,fetch-add64,2
1,436817.80,1,16,fetch-add64,2
0,449180.50,1,32,fetch-add64,2
1,449180.50,1,32,fetch-add64,2
0,461933.68,1,64,fetch-add64,2
1,461933.66,1,64,fetch-add64,2
0,462639.14,1,128,fetch-add64,2
1,462639.11,1,128,fetch-add64,2
0,182499.90,1,1,fetch-add64,4
1,182499.83,1,1,fetch-add64,4
2,182499.79,1,1,fetch-add64,4
3,182499.84,1,1,fetch-add64,4
0,259447.08,1,2,fetch-add64,4
1,259446.92,1,2,fetch-add64,4
2,259446.92,1,2,fetch-add64,4
3,259446.96,1,2,fetch-add64,4
0,327307.60,1,4,fetch-add64,4
1,327307.49,1,4,fetch-add64,4
2,327307.54,1,4,fetch-add64,4
3,327307.45,1,4,fetch-add64,4
0,380677.56,1,8,fetch-add64,4
1,380677.85,1,8,fetch-add64,4
2,380677.70,1,8,fetch-add64,4
3,380677.54,1,8,fetch-add64,4
0,418654.85,1,16,fetch-add64,4
1,418654.82,1,16,fetch-add64,4
2,418654.77,1,16,fetch-add64,4
3,418654.81,1,16,fetch-add64,4
0,438978.65,1,32,fetch-add64,4
1,438978.59,1,32,fetch-add64,4
2,438978.61,1,32,fetch-add64,4
3,438978.60,1,32,fetch-add64,4
0,450327.72,1,64,fetch-add64,4
1,450327.70,1,64,fetch-add64,4
2,450327.77,1,64,fetch-add64,4
3,450327.71,1,64,fetch-add64,4
0,457216.32,1,128,fetch-add64,4
1,457216.31,1,128,fetch-add64,4
2,457216.31,1,128,fetch-add64,4
3,457216.33,1,128,fetch-add64,4
0,111455.25,1,1,fetch-add64,8
1,111456.07,1,1,fetch-add64,8
2,111455.84,1,1,fetch-add64,8
3,111455.77,1,1,fetch-add64,8
4,111455.65,1,1,fetch-add64,8
5,111455.52,1,1,fetch-add64,8
6,111455.33,1,1,fetch-add64,8
7,111455.15,1,1,fetch-add64,8
0,181339.92,1,2,fetch-add64,8
1,181341.17,1,2,fetch-add64,8
2,181341.11,1,2,fetch-add64,8
3,181340.92,1,2,fetch-add64,8
4,181340.70,1,2,fetch-add64,8
5,181340.49,1,2,fetch-add64,8
6,181340.28,1,2,fetch-add64,8
7,181340.17,1,2,fetch-add64,8
0,252089.20,1,4,fetch-add64,8
1,252089.90,1,4,fetch-add64,8
2,252089.78,1,4,fetch-add64,8
3,252089.89,1,4,fetch-add64,8
4,252089.59,1,4,fetch-add64,8
5,252089.46,1,4,fetch-add64,8
6,252089.27,1,4,fetch-add64,8
7,252089.12,1,4,fetch-add64,8
0,327543.63,1,8,fetch-add64,8
1,327543.59,1,8,fetch-add64,8
2,327543.57,1,8,fetch-add64,8
3,327543.55,1,8,fetch-add64,8
4,327543.55,1,8,fetch-add64,8
5,327543.65,1,8,fetch-add64,8
6,327543.56,1,8,fetch-add64,8
7,327543.53,1,8,fetch-add64,8
0,379388.17,1,16,fetch-add64,8
1,379388.11,1,16,fetch-add64,8
2,379388.09,1,16,fetch-add64,8
3,379388.04,1,16,fetch-add64,8
4,379388.03,1,16,fetch-add64,8
5,379388.15,1,16,fetch-add64,8
6,379388.10,1,16,fetch-add64,8
7,379388.13,1,16,fetch-add64,8
0,414019.70,1,32,fetch-add64,8
1,414019.66,1,32,fetch-add64,8
2,414019.64,1,32,fetch-add64,8
3,414019.70,1,32,fetch-add64,8
4,414019.70,1,32,fetch-add64,8
5,414019.66,1,32,fetch-add64,8
6,414019.68,1,32,fetch-add64,8
7,414019.72,1,32,fetch-add64,8
0,434078.39,1,64,fetch-add64,8
1,434078.38,1,64,fetch-add64,8
2,434078.35,1,64,fetch-add64,8
3,434078.37,1,64,fetch-add64,8
4,434078.36,1,64,fetch-add64,8
5,434078.36,1,64,fetch-add64,8
6,434078.40,1,64,fetch-add64,8
7,434078.38,1,64,fetch-add64,8
0,444587.86,1,128,fetch-add64,8
1,444587.84,1,128,fetch-add64,8
2,444587.84,1,128,fetch-add64,8
3,444587.85,1,128,fetch-add64,8
4,444587.82,1,128,fetch-add64,8
5,444587.84,1,128,fetch-add64,8
6,444587.83,1,128,fetch-add64,8
7,444587.85,1,128,fetch-add64,8
0,63932.68,1,1,fetch-add64,16
1,63932.38,1,1,fetch-add64,16
2,63932.45,1,1,fetch-add64,16
3,63932.47,1,1,fetch-add64,16
4,63932.54,1,1,fetch-add64,16
5,63932.58,1,1,fetch-add64,16
6,63932.60,1,1,fetch-add64,16
7,63932.68,1,1,fetch-add64,16
8,63932.66,1,1,fetch-add64,16
9,63932.67,1,1,fetch-add64,16
10,63932.67,1,1,fetch-add64,16
11,63932.67,1,1,fetch-add64,16
12,63932.67,1,1,fetch-add64,16
13,63932.65,1,1,fetch-add64,16
14,63932.67,1,1,fetch-add64,16
15,63932.65,1,1,fetch-add64,16
0,111990.58,1,2,fetch-add64,16
1,111991.09,1,2,fetch-add64,16
2,111991.18,1,2,fetch-add64,16
3,111991.18,1,2,fetch-add64,16
4,111991.16,1,2,fetch-add64,16
5,111991.07,1,2,fetch-add64,16
6,111991.00,1,2,fetch-add64,16
7,111990.91,1,2,fetch-add64,16
8,111990.95,1,2,fetch-add64,16
9,111990.91,1,2,fetch-add64,16
10,111990.86,1,2,fetch-add64,16
11,111990.81,1,2,fetch-add64,16
12,111990.76,1,2,fetch-add64,16
13,111990.69,1,2,fetch-add64,16
14,111990.59,1,2,fetch-add64,16
15,111990.53,1,2,fetch-add64,16
0,180229.26,1,4,fetch-add64,16
1,180228.79,1,4,fetch-add64,16
2,180228.84,1,4,fetch-add64,16
3,180228.76,1,4,fetch-add64,16
4,180228.79,1,4,fetch-add64,16
5,180228.74,1,4,fetch-add64,16
6,180228.86,1,4,fetch-add64,16
7,180228.90,1,4,fetch-add64,16
8,180228.92,1,4,fetch-add64,16
9,180228.90,1,4,fetch-add64,16
10,180228.99,1,4,fetch-add64,16
11,180229.08,1,4,fetch-add64,16
12,180229.19,1,4,fetch-add64,16
13,180229.25,1,4,fetch-add64,16
14,180229.23,1,4,fetch-add64,16
15,180229.24,1,4,fetch-add64,16
0,255860.43,1,8,fetch-add64,16
1,255860.36,1,8,fetch-add64,16
2,255860.37,1,8,fetch-add64,16
3,255860.36,1,8,fetch-add64,16
4,255860.45,1,8,fetch-add64,16
5,255860.36,1,8,fetch-add64,16
6,255860.35,1,8,fetch-add64,16
7,255860.32,1,8,fetch-add64,16
8,255860.32,1,8,fetch-add64,16
9,255860.41,1,8,fetch-add64,16
10,255860.38,1,8,fetch-add64,16
11,255860.38,1,8,fetch-add64,16
12,255860.36,1,8,fetch-add64,16
13,255860.37,1,8,fetch-add64,16
14,255860.36,1,8,fetch-add64,16
15,255860.38,1,8,fetch-add64,16
0,324528.73,1,16,fetch-add64,16
1,324528.90,1,16,fetch-add64,16
2,324528.92,1,16,fetch-add64,16
3,324528.87,1,16,fetch-add64,16
4,324528.94,1,16,fetch-add64,16
5,324528.83,1,16,fetch-add64,16
6,324528.77,1,16,fetch-add64,16
7,324528.67,1,16,fetch-add64,16
8,324528.64,1,16,fetch-add64,16
9,324528.56,1,16,fetch-add64,16
