pe_id,throughput,data_size,epoch_size,group,op,num_pe
3,479974.21,1,128,atomic,fetch-add32,8
4,480259.39,1,128,atomic,fetch-add32,8
5,480740.74,1,128,atomic,fetch-add32,8
6,481188.61,1,128,atomic,fetch-add32,8
7,480991.05,1,128,atomic,fetch-add32,8
0,72872.58,1,1,atomic,fetch-add32,16
1,72893.30,1,1,atomic,fetch-add32,16
2,72897.37,1,1,atomic,fetch-add32,16
3,72893.75,1,1,atomic,fetch-add32,16
4,72898.68,1,1,atomic,fetch-add32,16
5,72896.14,1,1,atomic,fetch-add32,16
6,72885.14,1,1,atomic,fetch-add32,16
7,72895.38,1,1,atomic,fetch-add32,16
8,72886.79,1,1,atomic,fetch-add32,16
9,72884.79,1,1,atomic,fetch-add32,16
10,72887.85,1,1,atomic,fetch-add32,16
11,72885.92,1,1,atomic,fetch-add32,16
12,72880.12,1,1,atomic,fetch-add32,16
13,72883.23,1,1,atomic,fetch-add32,16
14,72884.26,1,1,atomic,fetch-add32,16
15,72882.88,1,1,atomic,fetch-add32,16
0,140767.69,1,2,atomic,fetch-add32,16
1,140792.51,1,2,atomic,fetch-add32,16
2,140774.87,1,2,atomic,fetch-add32,16
3,140746.90,1,2,atomic,fetch-add32,16
4,140794.85,1,2,atomic,fetch-add32,16
5,140798.53,1,2,atomic,fetch-add32,16
6,140796.98,1,2,atomic,fetch-add32,16
7,140736.77,1,2,atomic,fetch-add32,16
8,140783.95,1,2,atomic,fetch-add32,16
9,140781.64,1,2,atomic,fetch-add32,16
10,140782.61,1,2,atomic,fetch-add32,16
11,140795.20,1,2,atomic,fetch-add32,16
12,140772.07,1,2,atomic,fetch-add32,16
13,140775.18,1,2,atomic,fetch-add32,16
14,140773.49,1,2,atomic,fetch-add32,16
15,140779.26,1,2,atomic,fetch-add32,16
0,279205.48,1,4,atomic,fetch-add32,16
1,279250.98,1,4,atomic,fetch-add32,16
2,279196.59,1,4,atomic,fetch-add32,16
3,279233.68,1,4,atomic,fetch-add32,16
4,279226.45,1,4,atomic,fetch-add32,16
5,279242.27,1,4,atomic,fetch-add32,16
6,279225.16,1,4,atomic,fetch-add32,16
7,279100.59,1,4,atomic,fetch-add32,16
8,279220.58,1,4,atomic,fetch-add32,16
9,279215.84,1,4,atomic,fetch-add32,16
10,279245.49,1,4,atomic,fetch-add32,16
11,279201.78,1,4,atomic,fetch-add32,16
12,279209.89,1,4,atomic,fetch-add32,16
13,279260.53,1,4,atomic,fetch-add32,16
14,279225.77,1,4,atomic,fetch-add32,16
15,279250.18,1,4,atomic,fetch-add32,16
0,453954.36,1,8,atomic,fetch-add32,16
1,453547.75,1,8,atomic,fetch-add32,16
2,453999.99,1,8,atomic,fetch-add32,16
3,453954.16,1,8,atomic,fetch-add32,16
4,453965.64,1,8,atomic,fetch-add32,16
5,453967.31,1,8,atomic,fetch-add32,16
6,453893.20,1,8,atomic,fetch-add32,16
7,453959.45,1,8,atomic,fetch-add32,16
8,453971.23,1,8,atomic,fetch-add32,16
9,453919.90,1,8,atomic,fetch-add32,16
10,453999.65,1,8,atomic,fetch-add32,16
11,453897.28,1,8,atomic,fetch-add32,16
12,453958.47,1,8,atomic,fetch-add32,16
13,454037.67,1,8,atomic,fetch-add32,16
14,453863.51,1,8,atomic,fetch-add32,16
15,453881.91,1,8,atomic,fetch-add32,16
0,455247.17,1,16,atomic,fetch-add32,16
1,455121.34,1,16,atomic,fetch-add32,16
2,455413.09,1,16,atomic,fetch-add32,16
3,455332.63,1,16,atomic,fetch-add32,16
4,455244.93,1,16,atomic,fetch-add32,16
5,455331.88,1,16,atomic,fetch-add32,16
6,455287.60,1,16,atomic,fetch-add32,16
7,455142.61,1,16,atomic,fetch-add32,16
8,455289.22,1,16,atomic,fetch-add32,16
9,455349.98,1,16,atomic,fetch-add32,16
10,455248.04,1,16,atomic,fetch-add32,16
11,455324.12,1,16,atomic,fetch-add32,16
12,455248.87,1,16,atomic,fetch-add32,16
13,455336.38,1,16,atomic,fetch-add32,16
14,455327.45,1,16,atomic,fetch-add32,16
15,455257.33,1,16,atomic,fetch-add32,16
0,449500.30,1,64,atomic,fetch-add32,16
1,449732.39,1,64,atomic,fetch-add32,16
2,449654.06,1,64,atomic,fetch-add32,16
3,449905.88,1,64,atomic,fetch-add32,16
4,449663.09,1,64,atomic,fetch-add32,16
5,449832.94,1,64,atomic,fetch-add32,16
6,449862.23,1,64,atomic,fetch-add32,16
7,449744.37,1,64,atomic,fetch-add32,16
8,449913.96,1,64,atomic,fetch-add32,16
9,450924.82,1,64,atomic,fetch-add32,16
10,449700.66,1,64,atomic,fetch-add32,16
11,449488.70,1,64,atomic,fetch-add32,16
12,449960.37,1,64,atomic,fetch-add32,16
13,449862.96,1,64,atomic,fetch-add32,16
14,449730.90,1,64,atomic,fetch-add32,16
15,449661.73,1,64,atomic,fetch-add32,16
0,465145.91,1,128,atomic,fetch-add32,16
1,465670.76,1,128,atomic,fetch-add32,16
2,465755.73,1,128,atomic,fetch-add32,16
3,465860.01,1,128,atomic,fetch-add32,16
4,465148.82,1,128,atomic,fetch-add32,16
5,465699.68,1,128,atomic,fetch-add32,16
6,465519.82,1,128,atomic,fetch-add32,16
7,465521.26,1,128,atomic,fetch-add32,16
8,465402.59,1,128,atomic,fetch-add32,16
9,465403.87,1,128,atomic,fetch-add32,16
10,465687.33,1,128,atomic,fetch-add32,16
11,465486.93,1,128,atomic,fetch-add32,16
12,465349.07,1,128,atomic,fetch-add32,16
13,465592.98,1,128,atomic,fetch-add32,16
14,465963.55,1,128,atomic,fetch-add32,16
15,465300.89,1,128,atomic,fetch-add32,16
0,31171.43,1,1,atomic,fetch-add32,32
1,31153.67,1,1,atomic,fetch-add32,32
2,31158.34,1,1,atomic,fetch-add32,32
3,31172.54,1,1,atomic,fetch-add32,32
4,31146.81,1,1,atomic,fetch-add32,32
5,31154.84,1,1,atomic,fetch-add32,32
6,31117.07,1,1,atomic,fetch-add32,32
7,31122.90,1,1,atomic,fetch-add32,32
8,31142.37,1,1,atomic,fetch-add32,32
9,31195.56,1,1,atomic,fetch-add32,32
10,31187.97,1,1,atomic,fetch-add32,32
11,31162.10,1,1,atomic,fetch-add32,32
12,31168.37,1,1,atomic,fetch-add32,32
13,31136.07,1,1,atomic,fetch-add32,32
14,31193.27,1,1,atomic,fetch-add32,32
15,31151.61,1,1,atomic,fetch-add32,32
16,31149.95,1,1,atomic,fetch-add32,32
17,31140.89,1,1,atomic,fetch-add32,32
18,31149.54,1,1,atomic,fetch-add32,32
19,31165.98,1,1,atomic,fetch-add32,32
20,31154.45,1,1,atomic,fetch-add32,32
21,31167.09,1,1,atomic,fetch-add32,32
22,31180.08,1,1,atomic,fetch-add32,32
23,31114.48,1,1,atomic,fetch-add32,32
24,31183.97,1,1,atomic,fetch-add32,32
25,31138.45,1,1,atomic,fetch-add32,32
26,31161.37,1,1,atomic,fetch-add32,32
27,31169.80,1,1,atomic,fetch-add32,32
28,31121.36,1,1,atomic,fetch-add32,32
29,31119.08,1,1,atomic,fetch-add32,32
30,31123.77,1,1,atomic,fetch-add32,32
31,31166.18,1,1,atomic,fetch-add32,32
0,60997.76,1,2,atomic,fetch-add32,32
1,61083.18,1,2,atomic,fetch-add32,32
2,61121.87,1,2,atomic,fetch-add32,32
3,61021.63,1,2,atomic,fetch-add32,32
4,61088.81,1,2,atomic,fetch-add32,32
5,61004.27,1,2,atomic,fetch-add32,32
6,61100.37,1,2,atomic,fetch-add32,32
7,60994.15,1,2,atomic,fetch-add32,32
8,61067.02,1,2,atomic,fetch-add32,32
9,61040.87,1,2,atomic,fetch-add32,32
10,61095.47,1,2,atomic,fetch-add32,32
11,61054.73,1,2,atomic,fetch-add32,32
12,61075.12,1,2,atomic,fetch-add32,32
13,61067.69,1,2,atomic,fetch-add32,32
14,61110.17,1,2,atomic,fetch-add32,32
15,61099.58,1,2,atomic,fetch-add32,32
16,61067.06,1,2,atomic,fetch-add32,32
17,61092.13,1,2,atomic,fetch-add32,32
18,61068.80,1,2,atomic,fetch-add32,32
19,61125.89,1,2,atomic,fetch-add32,32
20,61021.08,1,2,atomic,fetch-add32,32
21,61065.55,1,2,atomic,fetch-add32,32
22,61008.81,1,2,atomic,fetch-add32,32
23,61060.57,1,2,atomic,fetch-add32,32
24,61014.39,1,2,atomic,fetch-add32,32
25,61077.23,1,2,atomic,fetch-add32,32
26,61087.46,1,2,atomic,fetch-add32,32
27,61061.20,1,2,atomic,fetch-add32,32
28,61020.65,1,2,atomic,fetch-add32,32
29,61173.70,1,2,atomic,fetch-add32,32
30,61019.12,1,2,atomic,fetch-add32,32
31,61034.06,1,2,atomic,fetch-add32,32
0,118884.56,1,4,atomic,fetch-add32,32
1,118860.05,1,4,atomic,fetch-add32,32
2,119418.02,1,4,atomic,fetch-add32,32
3,119383.86,1,4,atomic,fetch-add32,32
4,119128.64,1,4,atomic,fetch-add32,32
5,119139.45,1,4,atomic,fetch-add32,32
6,119183.99,1,4,atomic,fetch-add32,32
7,119142.94,1,4,atomic,fetch-add32,32
8,119398.82,1,4,atomic,fetch-add32,32
9,119011.03,1,4,atomic,fetch-add32,32
10,119203.56,1,4,atomic,fetch-add32,32
11,119450.17,1,4,atomic,fetch-add32,32
12,119153.64,1,4,atomic,fetch-add32,32
13,119118.95,1,4,atomic,fetch-add32,32
14,119150.23,1,4,atomic,fetch-add32,32
15,119045.27,1,4,atomic,fetch-add32,32
16,118908.45,1,4,atomic,fetch-add32,32
17,119120.19,1,4,atomic,fetch-add32,32
18,118925.38,1,4,atomic,fetch-add32,32
19,119057.02,1,4,atomic,fetch-add32,32
20,119403.58,1,4,atomic,fetch-add32,32
21,119381.93,1,4,atomic,fetch-add32,32
22,119041.23,1,4,atomic,fetch-add32,32
23,119018.57,1,4,atomic,fetch-add32,32
24,119063.16,1,4,atomic,fetch-add32,32
25,119551.92,1,4,atomic,fetch-add32,32
26,119490.58,1,4,atomic,fetch-add32,32
27,119010.29,1,4,atomic,fetch-add32,32
28,119288.60,1,4,atomic,fetch-add32,32
29,119132.13,1,4,atomic,fetch-add32,32
30,118846.54,1,4,atomic,fetch-add32,32
31,118563.59,1,4,atomic,fetch-add32,32
0,191247.21,1,8,atomic,fetch-add32,32
1,192286.73,1,8,atomic,fetch-add32,32
2,191036.73,1,8,atomic,fetch-add32,32
3,192428.39,1,8,atomic,fetch-add32,32
4,192098.16,1,8,atomic,fetch-add32,32
5,192336.22,1,8,atomic,fetch-add32,32
6,192768.47,1,8,atomic,fetch-add32,32
7,192165.48,1,8,atomic,fetch-add32,32
8,190942.44,1,8,atomic,fetch-add32,32
9,191706.95,1,8,atomic,fetch-add32,32
10,192481.32,1,8,atomic,fetch-add32,32
11,192234.92,1,8,atomic,fetch-add32,32
12,191969.85,1,8,atomic,fetch-add32,32
13,192211.35,1,8,atomic,fetch-add32,32
14,191964.23,1,8,atomic,fetch-add32,32
15,191840.13,1,8,atomic,fetch-add32,32
16,192196.39,1,8,atomic,fetch-add32,32
17,192348.01,1,8,atomic,fetch-add32,32
18,191514.16,1,8,atomic,fetch-add32,32
19,192563.95,1,8,atomic,fetch-add32,32
20,191928.35,1,8,atomic,fetch-add32,32
21,191370.27,1,8,atomic,fetch-add32,32
22,192468.61,1,8,atomic,fetch-add32,32
23,191718.33,1,8,atomic,fetch-add32,32
24,191672.14,1,8,atomic,fetch-add32,32
25,192180.75,1,8,atomic,fetch-add32,32
26,191681.55,1,8,atomic,fetch-add32,32
27,192739.13,1,8,atomic,fetch-add32,32
28,191893.23,1,8,atomic,fetch-add32,32
29,191230.06,1,8,atomic,fetch-add32,32
30,191512.76,1,8,atomic,fetch-add32,32
31,190952.02,1,8,atomic,fetch-add32,32
0,203434.12,1,16,atomic,fetch-add32,32
1,204214.82,1,16,atomic,fetch-add32,32
2,202921.45,1,16,atomic,fetch-add32,32
3,204425.11,1,16,atomic,fetch-add32,32
4,204093.09,1,16,atomic,fetch-add32,32
5,204349.19,1,16,atomic,fetch-add32,32
6,203842.07,1,16,atomic,fetch-add32,32
7,204699.64,1,16,atomic,fetch-add32,32
8,203785.24,1,16,atomic,fetch-add32,32
9,204792.45,1,16,atomic,fetch-add32,32
10,205093.88,1,16,atomic,fetch-add32,32
11,204915.03,1,16,atomic,fetch-add32,32
12,204208.51,1,16,atomic,fetch-add32,32
13,204544.70,1,16,atomic,fetch-add32,32
14,204726.20,1,16,atomic,fetch-add32,32
15,204108.28,1,16,atomic,fetch-add32,32
16,204809.69,1,16,atomic,fetch-add32,32
17,204667.61,1,16,atomic,fetch-add32,32
18,204846.30,1,16,atomic,fetch-add32,32
19,204726.09,1,16,atomic,fetch-add32,32
20,204927.33,1,16,atomic,fetch-add32,32
21,204332.19,1,16,atomic,fetch-add32,32
22,204365.34,1,16,atomic,fetch-add32,32
23,204443.92,1,16,atomic,fetch-add32,32
24,204109.03,1,16,atomic,fetch-add32,32
25,205210.95,1,16,atomic,fetch-add32,32
26,204472.68,1,16,atomic,fetch-add32,32
27,204304.47,1,16,atomic,fetch-add32,32
28,204646.25,1,16,atomic,fetch-add32,32
29,204308.93,1,16,atomic,fetch-add32,32
