pe_id,throughput,data_size,epoch_size,group,op,num_pe
3,476763.68,1,128,atomic,fetch-add32,8
4,476695.35,1,128,atomic,fetch-add32,8
5,477056.33,1,128,atomic,fetch-add32,8
6,476763.39,1,128,atomic,fetch-add32,8
7,476207.98,1,128,atomic,fetch-add32,8
0,51069.13,1,1,atomic,fetch-add32,16
1,51073.95,1,1,atomic,fetch-add32,16
2,51071.70,1,1,atomic,fetch-add32,16
3,51074.63,1,1,atomic,fetch-add32,16
4,51073.76,1,1,atomic,fetch-add32,16
5,51073.06,1,1,atomic,fetch-add32,16
6,51069.19,1,1,atomic,fetch-add32,16
7,51070.52,1,1,atomic,fetch-add32,16
8,51072.55,1,1,atomic,fetch-add32,16
9,51070.96,1,1,atomic,fetch-add32,16
10,51067.99,1,1,atomic,fetch-add32,16
11,51068.42,1,1,atomic,fetch-add32,16
12,51070.43,1,1,atomic,fetch-add32,16
13,51068.85,1,1,atomic,fetch-add32,16
14,51067.21,1,1,atomic,fetch-add32,16
15,51067.55,1,1,atomic,fetch-add32,16
0,135828.03,1,2,atomic,fetch-add32,16
1,135844.84,1,2,atomic,fetch-add32,16
2,135853.48,1,2,atomic,fetch-add32,16
3,135835.60,1,2,atomic,fetch-add32,16
4,135847.71,1,2,atomic,fetch-add32,16
5,135838.18,1,2,atomic,fetch-add32,16
6,135836.81,1,2,atomic,fetch-add32,16
7,135830.86,1,2,atomic,fetch-add32,16
8,135848.87,1,2,atomic,fetch-add32,16
9,135837.94,1,2,atomic,fetch-add32,16
10,135828.66,1,2,atomic,fetch-add32,16
11,135832.22,1,2,atomic,fetch-add32,16
12,135821.86,1,2,atomic,fetch-add32,16
13,135830.68,1,2,atomic,fetch-add32,16
14,135833.30,1,2,atomic,fetch-add32,16
15,135829.93,1,2,atomic,fetch-add32,16
0,255366.72,1,4,atomic,fetch-add32,16
1,255374.42,1,4,atomic,fetch-add32,16
2,255344.62,1,4,atomic,fetch-add32,16
3,255406.47,1,4,atomic,fetch-add32,16
4,255377.83,1,4,atomic,fetch-add32,16
5,255412.68,1,4,atomic,fetch-add32,16
6,255362.13,1,4,atomic,fetch-add32,16
7,255355.02,1,4,atomic,fetch-add32,16
8,255349.13,1,4,atomic,fetch-add32,16
9,255356.87,1,4,atomic,fetch-add32,16
10,255354.28,1,4,atomic,fetch-add32,16
11,255352.89,1,4,atomic,fetch-add32,16
12,255342.23,1,4,atomic,fetch-add32,16
13,255348.81,1,4,atomic,fetch-add32,16
14,255344.29,1,4,atomic,fetch-add32,16
15,255366.03,1,4,atomic,fetch-add32,16
0,420588.20,1,8,atomic,fetch-add32,16
