pe_id,throughput,data_size,epoch_size,operation,num_pe
0,483736.28,1,1,put-non-blocking,1
0,482110.03,2,1,put-non-blocking,1
0,497207.97,4,1,put-non-blocking,1
0,483127.54,8,1,put-non-blocking,1
0,484617.22,16,1,put-non-blocking,1
0,470302.50,32,1,put-non-blocking,1
0,490013.76,64,1,put-non-blocking,1
0,481691.38,128,1,put-non-blocking,1
0,451763.64,256,1,put-non-blocking,1
0,436366.30,512,1,put-non-blocking,1
0,378258.24,1024,1,put-non-blocking,1
0,344802.01,2048,1,put-non-blocking,1
0,259310.57,4096,1,put-non-blocking,1
0,182557.09,8192,1,put-non-blocking,1
0,96162.33,16384,1,put-non-blocking,1
0,948376.70,1,2,put-non-blocking,1
0,958436.52,2,2,put-non-blocking,1
0,915771.31,4,2,put-non-blocking,1
0,939492.12,8,2,put-non-blocking,1
0,959429.91,16,2,put-non-blocking,1
0,943266.05,32,2,put-non-blocking,1
0,933291.28,64,2,put-non-blocking,1
0,876470.39,128,2,put-non-blocking,1
0,718751.11,256,2,put-non-blocking,1
0,690891.73,512,2,put-non-blocking,1
0,607862.46,1024,2,put-non-blocking,1
0,505606.34,2048,2,put-non-blocking,1
0,345069.26,4096,2,put-non-blocking,1
0,189624.47,8192,2,put-non-blocking,1
0,97652.52,16384,2,put-non-blocking,1
0,1708642.90,1,4,put-non-blocking,1
0,1719488.99,2,4,put-non-blocking,1
0,1713756.68,4,4,put-non-blocking,1
0,1702414.34,8,4,put-non-blocking,1
0,1707784.42,16,4,put-non-blocking,1
0,1681760.33,32,4,put-non-blocking,1
0,1629498.09,64,4,put-non-blocking,1
0,1550612.96,128,4,put-non-blocking,1
0,1195740.75,256,4,put-non-blocking,1
0,1140466.48,512,4,put-non-blocking,1
0,859418.38,1024,4,put-non-blocking,1
0,566207.39,2048,4,put-non-blocking,1
0,287869.12,4096,4,put-non-blocking,1
0,196734.46,8192,4,put-non-blocking,1
0,99047.66,16384,4,put-non-blocking,1
0,2791220.28,1,8,put-non-blocking,1
0,2765699.39,2,8,put-non-blocking,1
0,2781983.98,4,8,put-non-blocking,1
0,2802145.64,8,8,put-non-blocking,1
0,2751716.44,16,8,put-non-blocking,1
0,2763624.28,32,8,put-non-blocking,1
0,2757762.20,64,8,put-non-blocking,1
0,2569240.47,128,8,put-non-blocking,1
0,2014774.90,256,8,put-non-blocking,1
0,1740472.36,512,8,put-non-blocking,1
0,1403445.81,1024,8,put-non-blocking,1
0,746180.91,2048,8,put-non-blocking,1
0,294023.70,4096,8,put-non-blocking,1
0,195883.72,8192,8,put-non-blocking,1
0,74777.40,16384,8,put-non-blocking,1
0,4076835.54,1,16,put-non-blocking,1
0,4071419.90,2,16,put-non-blocking,1
0,4059625.68,4,16,put-non-blocking,1
0,4063041.23,8,16,put-non-blocking,1
0,4047328.58,16,16,put-non-blocking,1
0,3979016.00,32,16,put-non-blocking,1
0,3958991.81,64,16,put-non-blocking,1
0,3688469.81,128,16,put-non-blocking,1
0,3304902.04,256,16,put-non-blocking,1
0,2511456.66,512,16,put-non-blocking,1
0,1519060.43,1024,16,put-non-blocking,1
0,782485.04,2048,16,put-non-blocking,1
0,397949.25,4096,16,put-non-blocking,1
0,200282.84,8192,16,put-non-blocking,1
0,77761.92,16384,16,put-non-blocking,1
0,5309904.74,1,32,put-non-blocking,1
0,5316109.29,2,32,put-non-blocking,1
0,5317834.71,4,32,put-non-blocking,1
0,5320192.13,8,32,put-non-blocking,1
0,5315082.46,16,32,put-non-blocking,1
0,5192701.20,32,32,put-non-blocking,1
0,5186416.64,64,32,put-non-blocking,1
0,5024428.19,128,32,put-non-blocking,1
0,4012334.02,256,32,put-non-blocking,1
0,2317763.65,512,32,put-non-blocking,1
0,1553661.24,1024,32,put-non-blocking,1
0,594694.84,2048,32,put-non-blocking,1
0,399529.18,4096,32,put-non-blocking,1
0,230617.06,8192,32,put-non-blocking,1
0,115784.58,16384,32,put-non-blocking,1
0,6263614.57,1,64,put-non-blocking,1
0,6267502.47,2,64,put-non-blocking,1
0,6268749.68,4,64,put-non-blocking,1
0,6268773.16,8,64,put-non-blocking,1
0,6265791.18,16,64,put-non-blocking,1
0,6098327.70,32,64,put-non-blocking,1
0,6089729.71,64,64,put-non-blocking,1
0,5954582.43,128,64,put-non-blocking,1
0,5270017.37,256,64,put-non-blocking,1
0,2346467.58,512,64,put-non-blocking,1
0,1576338.77,1024,64,put-non-blocking,1
0,800440.49,2048,64,put-non-blocking,1
0,461911.26,4096,64,put-non-blocking,1
0,231345.13,8192,64,put-non-blocking,1
0,115170.62,16384,64,put-non-blocking,1
0,6870956.81,1,128,put-non-blocking,1
0,6876862.51,2,128,put-non-blocking,1
0,6872355.12,4,128,put-non-blocking,1
0,6877583.85,8,128,put-non-blocking,1
0,6876689.10,16,128,put-non-blocking,1
0,6678733.09,32,128,put-non-blocking,1
0,6671127.53,64,128,put-non-blocking,1
0,6526555.25,128,128,put-non-blocking,1
0,5942568.95,256,128,put-non-blocking,1
